attribute,type,required,style,units,description,options,alias,example
warnings,str,FALSE,free form,none,any warnings about the data that should be noted,none,none,periodic pipeline noise
good_from_period,float,FALSE,number,none,Data are good for periods larger than this number,none,none,0.01
good_to_period,float,FALSE,number,none,Data are good for periods smaller than this number,none,none,1000
comments,str,FALSE,free form,none,Any comments about the data that should be noted,none,none,periodic pipeline noise
rating,integer,FALSE,number,none,Rating of the data from 0 to 5 where 5 is the best and 0 is unrated,none,none,4 
