FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  3     3     1      0.6613   0.0434
  3     3     2     49.7950   2.8660
  3     3     5      0.8873   0.0434
  3     3     6     49.5023   2.8660
  3     4     1      0.6668   0.0434
  3     4     2     51.1307   2.8660
  3     4     5      0.8689   0.0434
  3     4     6     50.7880   2.8660
  3     5     1      0.6476   0.0434
  3     5     2     51.4930   2.8660
  3     5     5      0.8607   0.0434
  3     5     6     50.6815   2.8660
  3     6     1      0.6385   0.0434
  3     6     2     50.7575   2.8660
  3     6     5      0.8377   0.0434
  3     6     6     50.5591   2.8660
  3     7     1      0.6330   0.0434
  3     7     2     51.0472   2.8660
  3     7     5      0.8298   0.0434
  3     7     6     50.8591   2.8660
  3     8     1      0.5882   0.0434
  3     8     2     51.6507   2.8660
  3     8     5      0.7811   0.0434
  3     8     6     51.6837   2.8660
  3     9     1      0.5594   0.0434
  3     9     2     51.4321   2.8660
  3     9     5      0.8041   0.0434
  3     9     6     49.8610   2.8660
  3     10    1      0.5016   0.0434
  3     10    2     53.0939   2.8660
  3     10    5      0.6945   0.0434
  3     10    6     52.0531   2.8660
  3     11    1      0.5422   0.0434
  3     11    2     51.3797   2.8660
  3     11    5      0.7324   0.0434
  3     11    6     50.7451   2.8660
  3     12    1      0.5626   0.0434
  3     12    2     52.1938   2.8660
  3     12    5      0.7535   0.0434
  3     12    6     49.0307   2.8660
  3     13    1      0.5184   0.0434
  3     13    2     50.1770   2.8660
  3     13    5      0.7218   0.0434
  3     13    6     46.9161   2.8660
  3     14    1      0.4487   0.0434
  3     14    2     46.7804   2.8660
  3     14    5      0.6614   0.0434
  3     14    6     45.2365   2.8660
  3     15    1      0.4274   0.0434
  3     15    2     44.0346   2.8660
  3     15    5      0.6536   0.0434
  3     15    6     42.5022   2.8660
  3     16    1      0.4128   0.0434
  3     16    2     39.4811   2.8660
  3     16    5      0.6547   0.0434
  3     16    6     38.2545   2.8660
  3     17    1      0.4192   0.0434
  3     17    2     36.1544   2.8660
  3     17    5      0.6631   0.0434
  3     17    6     35.5128   2.8660
  3     18    1      0.4404   0.0434
  3     18    2     32.3168   2.8660
  3     18    5      0.6956   0.0434
  3     18    6     32.8447   2.8660
  3     19    1      0.4970   0.0434
  3     19    2     26.6172   2.8660
  3     19    5      0.7567   0.0434
  3     19    6     29.7467   2.8660
  4     1     1      0.7316   0.0434
  4     1     2     53.5773   2.8660
  4     1     5      0.8106   0.0434
  4     1     6     54.1464   2.8660
  4     2     1      0.6942   0.0434
  4     2     2     51.9125   2.8660
  4     2     5      0.7828   0.0434
  4     2     6     51.9702   2.8660
  4     3     1      0.6866   0.0434
  4     3     2     50.3885   2.8660
  4     3     5      0.7895   0.0434
  4     3     6     50.6074   2.8660
  4     4     1      0.6914   0.0434
  4     4     2     51.5767   2.8660
  4     4     5      0.7715   0.0434
  4     4     6     51.7490   2.8660
  4     5     1      0.6716   0.0434
  4     5     2     51.7409   2.8660
  4     5     5      0.7623   0.0434
  4     5     6     51.4413   2.8660
  4     6     1      0.6642   0.0434
  4     6     2     50.8380   2.8660
  4     6     5      0.7389   0.0434
  4     6     6     51.0967   2.8660
  4     7     1      0.6587   0.0434
  4     7     2     50.9206   2.8660
  4     7     5      0.7314   0.0434
  4     7     6     51.2473   2.8660
  4     8     1      0.6169   0.0434
  4     8     2     51.4650   2.8660
  4     8     5      0.6841   0.0434
  4     8     6     52.1231   2.8660
  4     9     1      0.5899   0.0434
  4     9     2     51.2010   2.8660
  4     9     5      0.7073   0.0434
  4     9     6     50.3427   2.8660
  4     10    1      0.5347   0.0434
  4     10    2     53.2118   2.8660
  4     10    5      0.6001   0.0434
  4     10    6     52.6540   2.8660
  4     11    1      0.5773   0.0434
  4     11    2     51.6182   2.8660
  4     11    5      0.6376   0.0434
  4     11    6     51.3520   2.8660
  4     12    1      0.5765   0.0434
  4     12    2     50.1240   2.8660
  4     12    5      0.6544   0.0434
  4     12    6     49.7151   2.8660
  4     13    1      0.5386   0.0434
