Format:  EMData_1.1 
!mode:   TE
!rotation_angle = 0.00
# Transmitters: 1
0 0 0 0 0 
# Frequencies:   65
   +1.256500e+04
   +9.751601e+03
   +7.876300e+03
   +6.188500e+03
   +5.250801e+03
   +4.265799e+03
   +3.515799e+03
   +8.437800e+02
   +6.562798e+02
   +4.922399e+02
   +3.867599e+02
   +3.164400e+02
   +2.578400e+02
   +2.109600e+02
   +1.728900e+02
   +1.367200e+02
   +1.015600e+02
   +7.421900e+01
   +5.761700e+01
   +4.882800e+01
   +4.101600e+01
   +3.222700e+01
   +2.636700e+01
   +2.148400e+01
   +1.757800e+01
   +1.440400e+01
   +1.147500e+01
   +8.593800e+00
   +6.591801e+00
   +5.371100e+00
   +4.394500e+00
   +3.601100e+00
   +2.868700e+00
   +2.304700e+00
   +1.914100e+00
   +1.601600e+00
   +1.328100e+00
   +1.074200e+00
   +8.789100e-01
   +6.835900e-01
   +5.078100e-01
   +3.710900e-01
   +2.880900e-01
   +2.050800e-01
   +1.318400e-01
   +8.789098e-02
   +6.835900e-02
   +5.127000e-02
   +4.028299e-02
   +3.295900e-02
   +2.685500e-02
   +2.197300e-02
   +1.709000e-02
   +1.281700e-02
   +1.007100e-02
   +8.239700e-03
   +6.713900e-03
   +5.493201e-03
   +4.272499e-03
   +2.822900e-03
   +2.059900e-03
   +1.678500e-03
   +1.373300e-03
   +1.068100e-03
   +7.629400e-04
# Receivers: 1 
0 0 0 0 0 0 
# Data:      130
!Type      Freq#      TX#      Rx#      Data      Std_Error
RhoZxy      1      0      1      +9.526616e+00      +3.810647e-01
PhsZxy      1      0      1      +5.141945e+01      +2.000000e+00
RhoZxy      2      0      1      +9.309317e+00      +3.723727e-01
PhsZxy      2      0      1      +4.980396e+01      +2.000000e+00
RhoZxy      3      0      1      +9.405789e+00      +3.762315e-01
PhsZxy      3      0      1      +4.911077e+01      +2.000000e+00
RhoZxy      4      0      1      +9.767061e+00      +3.906824e-01
PhsZxy      4      0      1      +4.874426e+01      +2.000000e+00
RhoZxy      5      0      1      +1.001230e+01      +4.004919e-01
PhsZxy      5      0      1      +4.914551e+01      +2.000000e+00
RhoZxy      6      0      1      +9.038334e+00      +3.615334e-01
PhsZxy      6      0      1      +4.746509e+01      +2.000000e+00
RhoZxy      7      0      1      +9.425067e+00      +3.770027e-01
PhsZxy      7      0      1      +4.878960e+01      +2.000000e+00
RhoZxy      8      0      1      +6.719764e+00      +2.687906e-01
PhsZxy      8      0      1      +5.439794e+01      +2.000000e+00
RhoZxy      9      0      1      +6.259273e+00      +2.503709e-01
PhsZxy      9      0      1      +5.501065e+01      +2.000000e+00
RhoZxy      10      0      1      +6.519071e+00      +2.607628e-01
PhsZxy      10      0      1      +5.573392e+01      +2.000000e+00
RhoZxy      11      0      1      +5.913344e+00      +2.365338e-01
PhsZxy      11      0      1      +5.586440e+01      +2.000000e+00
RhoZxy      12      0      1      +5.661342e+00      +2.264537e-01
PhsZxy      12      0      1      +5.571404e+01      +2.000000e+00
