-4.000000000000000000e+00	9.342840635157209165e-06	4.000000000000000083e-02
-3.000000000000000000e+00	8.275452969975929203e-04	4.000000000000000222e-01
-2.000000000000000000e+00	7.330010703659112226e-02	4.199360319656843643e+00
-1.698970004336018746e+00	2.826859232902587116e-01	8.095065698854675418e+00
-1.397940008672037493e+00	1.130054874654828678e+00	1.616053761420915080e+01
-1.096910013008056461e+00	2.841277213573655480e+00	3.247594715779090535e+01
-1.000000000000000000e+00	4.222949916013199356e+00	4.017868457287823958e+01
-6.989700043360187465e-01	1.526471963012359367e+01	7.853017467581311450e+01
-3.979400086720376040e-01	5.619098901238679389e+01	1.390775781850181261e+02
-9.691001300805639207e-02	1.590921948573989368e+02	1.964624990563222582e+02
1.139433523068367898e-01	2.563619987251810244e+02	1.931826224318074878e+02
3.617278360175928409e-01	3.435575969509702645e+02	1.318794054326704952e+02
6.334684555795865313e-01	3.844120070883856215e+02	8.170929449137942413e+01
9.190780923760739629e-01	3.960870119612780513e+02	3.465312331646888566e+01
1.113943352306836720e+00	4.011388952967441810e+02	7.001905462638144506e+00
1.361727836017592841e+00	4.018485247852404996e+02	-2.105998879216059905e+01
1.633468455579586420e+00	3.974457882554834214e+02	-6.294922873218889947e+01
1.919078092376073963e+00	3.781323106042495397e+02	-1.376289056742490686e+02
2.041392685158224918e+00	3.585410253333992046e+02	-1.826857770951936004e+02
2.322219294733919082e+00	2.392816532052544574e+02	-3.175374787948036328e+02
2.612783856719735454e+00	-9.226901098171329352e+01	-3.700707900016650456e+02
2.785329835010767141e+00	-3.334440920395492753e+02	-1.484588747226671614e+02
2.908485018878649964e+00	-2.800254813508518623e+02	1.749793410498042192e+02
3.000000000000000000e+00	-5.253561257897998438e-14	2.860000000000000000e+02
3.041392685158224918e+00	1.355061919117386253e+02	2.086612373048215545e+02
