station,freq,lon,lat,phi_min,phi_max,azimuth,skew,n_skew,elliptic,tip_mag_re,tip_mag_im,tip_ang_re,tip_ang_im
IEB114-010A,11.199999999999999,136.77222222222224,-20.590083333333332,22.746912792521762,26.402981771469683,72.388077396353211,0.1211914844454231,0.24238296889084621,0.074386100140822226,0.079782479632995881,0.034676199862234552,-4.0378134726932551,-71.909873309302483
IEB114-012A,11.199999999999999,136.81136111111113,-20.591916666666666,15.474256045313931,27.575668650078633,-87.272495267253802,0.69195322273195603,1.3839064454639121,0.28110182980319737,0.11662157514725184,0.072829685136532804,134.15478137848794,-118.40190112475061
IEB114-014A,11.199999999999999,136.85022222222221,-20.592444444444443,7.6391600318835176,20.125536408242663,1.8585719632538122,-0.79542369280431202,-1.590847385608624,0.44972133598815606,0.29624278242198177,0.13014459790191371,-66.472563439305191,102.06522925865249
IEB114-016A,11.199999999999999,136.88919444444443,-20.59347222222222,17.398764416588037,25.663265142458236,-87.845418625460312,-1.7231254155756366,-3.4462508311512732,0.19192083630284981,0.011025939859319931,0.057131712890454496,-162.67307973982486,55.363555887276426
IEB114-018A,11.199999999999999,136.92797222222222,-20.593694444444445,16.484024365403808,21.247091767163791,69.891707673559551,-1.1654423021934954,-2.3308846043869909,0.12623711912006608,0.14103441986948786,0.020922534688087413,123.4837926887033,38.03443669299579
IEB114-110A,11.199999999999999,136.77325000000002,-20.546222222222223,14.765896399819695,20.844152096752168,64.848552711237346,0.020898127649009841,0.041796255298019683,0.17068934060894692,0.034101650047840625,0.045477035359655596,21.182221090449286,-28.118525351459297
IEB114-112A,11.199999999999999,136.81202777777779,-20.54677777777778,19.165289752120007,25.902015630678271,76.457319858946761,-0.024234390908721377,-0.048468781817442755,0.14948144383909853,0.1094516891400148,0.091966805765169315,138.11146134106792,-80.974075614120494
IEB114-114A,11.199999999999999,136.85102777777777,-20.546694444444444,8.4321854147035467,16.80590301424353,7.8130883290468454,-1.2347535176430888,-2.4695070352861777,0.33178890006327361,0.081128598298589094,0.13743015608048806,-99.603121859644119,115.44817774452392
IEB114-116A,11.199999999999999,136.8899722222222,-20.547444444444444,15.129894002752222,21.564935858618693,-86.359692917926964,0.53582158888777465,1.0716431777755493,0.17536644481463359,0.11939592281320817,0.065398709463432042,-66.261256949495007,98.579489461005466
IEB114-118A,11.199999999999999,136.9288611111111,-20.54813888888889,17.846039132168393,24.903931744150039,53.101721343074857,-0.9181484243126834,-1.8362968486253668,0.16509701567753354,0.070484542932330585,0.022522462073169609,98.845614657344996,97.201716117063299
IEB114-210A,11.199999999999999,136.77355555555556,-20.50111111111111,18.104758500056736,21.461401266686089,-38.337724062430944,0.1897350831509455,0.37947016630189101,0.08483620311948406,0.099475697506663949,0.051893808581806818,152.13588673389566,-61.184688257096433
IEB114-212A,11.199999999999999,136.81283333333334,-20.50161111111111,16.260194315636443,16.745481489295816,25.240868302955764,1.2812052427064873,2.5624104854129746,0.014703143075375326,0.12583933964690974,0.060858558101822023,155.04467138532837,-67.752320138895868
IEB114-214A,11.199999999999999,136.8518611111111,-20.502027777777776,2.65558424553363,23.210706417659328,8.3841780188777957,3.8077335634268779,7.6154671268537557,0.7946683364760565,0.19960697720732698,0.035357061822173602,154.58171907582141,-87.327142707739881
IEB114-216A,11.199999999999999,136.89052777777778,-20.502694444444444,12.366012683451471,22.003803535182602,81.184879849761018,1.857563775050209,3.715127550100418,0.28041438424991838,0.16865105454420115,0.053062011303057099,-37.98170329865895,101.13484565679526
IEB114-218A,11.199999999999999,136.92947222222222,-20.503138888888888,15.919659199912386,20.964120127064586,84.164905462818567,0.98343666557713671,1.9668733311542734,0.13676637858698654,0.19534927937765773,0.012831206844718427,1.095697962018199,-123.02438879807671
IEB114-310A,11.199999999999999,136.77477777777779,-20.456055555555555,13.205974719483462,15.691810299891936,-59.905721600737074,-1.0808254573519021,-2.1616509147038041,0.086021664938740777,0.093548150175189568,0.056832609822256998,-101.26139652470958,-120.72423724473153
IEB114-312A,11.199999999999999,136.81358333333336,-20.45647222222222,14.778937242092196,17.034170038169307,49.316092155759435,1.3851344717779501,2.7702689435559003,0.070890050953192313,0.20133454968831538,0.051858194542318804,48.328760998998774,-111.68275933704929
IEB114-314A,11.199999999999999,136.8523611111111,-20.456972222222223,7.8514810392859067,19.232465853286559,-8.6054935323129218,-1.3235401494462722,-2.6470802988925444,0.42021145806934757,0.18012776695326241,0.077885104353879006,-64.949439777800634,-150.45865286909253
IEB114-316A,11.199999999999999,136.89144444444443,-20.457833333333333,6.9327987643652458,14.544379175604535,-86.865075087836317,2.5544419081414755,5.1088838162829511,0.35440319172817725,0.18872680636619227,0.070708168227574933,-45.676044391891573,123.40858307236986
IEB114-318A,11.199999999999999,136.93005555555555,-20.45775,15.309114560220145,17.009236317116351,83.861531476261391,1.1956013911580015,2.3912027823160029,0.052605461316667289,0.086983444793953174,0.012619444676215869,31.46053882086213,80.846742831227871
IEB114-410A,11.199999999999999,136.7753888888889,-20.41086111111111,10.853724271293386,13.639936097096742,-43.289688455674174,2.8680033370412592,5.7360066740825184,0.11375236628164624,0.10221193855698114,0.053656468341776425,86.277033304521879,-116.43030164260642
IEB114-412A,11.199999999999999,136.8141388888889,-20.411388888888887,7.1326832624454202,16.889667218748116,-78.410019912430528,-1.0917366785414924,-2.1834733570829847,0.40616275097398075,0.16021667496168046,0.10548630202800861,81.054417527326933,-107.2360963883939
