station,file,lon,lat,phi_min,phi_max,skew,elliptic,azimuth,tip_mag_re,tip_ang_re,tip_mag_im,tip_ang_im
VIC086,VIC086.edi,147.472,-36.045,44.02,57.43,7.58,0.13,40.32,0.34,151.18,0.11,-122.45
VIC087,VIC087.edi,140.977,-35.376,35.51,56.23,5.21,0.23,46.37,0.18,-167.14,0.17,-2.21
VIC088,VIC088.edi,141.545,-35.336,40.81,48.17,6.24,0.08,57.97,0.14,-179.74,0.14,-5.84
VIC089,VIC089.edi,142.003,-35.475,42.14,56.18,6.87,0.14,-21.77,0.28,175.69,0.14,4.62
VIC090,VIC090.edi,142.465,-35.524,52.3,60.86,4.22,0.08,-32.93,0.21,-174.12,0.11,-54.69
VIC091,VIC091.edi,142.992,-35.473,49.85,54.67,-1.57,0.05,65.99,0.17,178.71,0.08,-37.43
VIC093,VIC093.edi,141.08,-34.968,42.04,53.79,5.44,0.12,39.73,0.15,-162.31,0.13,-15.77
VIC094,VIC094.edi,141.479,-34.971,44.02,50.59,5.37,0.07,21.37,0.16,-164.33,0.14,-6.71
VIC095,VIC095.edi,141.993,-34.942,43.32,50.91,4.96,0.08,29.82,0.2,-151.06,0.12,-50.33
VIC097,VIC097.edi,143.01,-34.993,51.76,52.98,3.14,0.01,18.66,0.18,-179.37,0.08,-62.75
VIC098,VIC098.edi,141.005,-34.473,43.55,52.75,3.48,0.1,42.19,0.09,-126.38,0.17,-9.3
VIC099,VIC099.edi,141.532,-34.47,49.88,52.87,4.95,0.03,9.41,0.13,-169.51,0.15,-5.8
VIC100,VIC100.edi,141.999,-34.496,45.29,49.44,4.77,0.04,11.4,0.17,-151.1,0.1,-48.53
VIC084,VICr84.edi,145.959,-36.053,30.47,66.12,13.17,0.37,37.08,0.16,165.09,0.06,-19.2
