FREQ,STATION,LAT,LON,ZXXre,ZXXim,ZXYre,ZXYim,ZYXre,ZYXim,ZYYre,ZYYim,TXre,TXim,TYre,TYim,RHOxx,RHOxy,RHOyx,RHOyy,PHSxx,PHSxy,PHSyx,PHSyy
0.00097655989999999998,VIC061,-36.49721091666667,142.00275988888887,-0.13997999999999999,-0.057556999999999997,0.71111000000000002,0.73087000000000002,-0.41855999999999999,-0.37117,0.34359000000000001,0.15132999999999999,0.19399,-0.15262000000000001,-0.11103,-0.068784999999999999,4.6914088217220478,212.96151705594303,64.094305428678766,28.867631570782301,-157.64850708021581,45.785096703293227,41.565921434477104,23.77050328338499
0.00097655989999999998,VIC066,-36.516390055555554,144.50145,0.29996,0.32418000000000002,0.34454000000000001,0.39346999999999999,-1.0414000000000001,-1.1695,-1.0243,-1.1634,0.18942999999999999,-0.091634999999999994,-0.031801000000000003,-0.038682000000000001,39.950170798534742,56.018366615299286,502.2209513210608,492.07223233311134,47.222270398489471,48.793153961836431,48.316021843582007,-131.36187373313302
0.00097655989999999998,VIC65R,-36.52641011111111,143.96562,-0.41334920000000003,-0.55312099999999997,-0.69199040000000001,-0.84014489999999997,0.44058059999999999,0.48274410000000001,0.2538282,0.336399,0.211476,-0.10408100000000001,-0.179616,-0.0056359100000000001,95.360080356328012,236.93883333763392,85.430626236234019,35.518608463247993,-126.77088689690117,-129.47678195125496,227.61458780134839,52.963801860315137
0.00097655989999999998,VIC84R,-35.95131944444445,145.95019166666665,-0.048832710000000001,-0.041505199999999999,-0.25784119999999999,-0.38468449999999998,0.2199188,0.25858350000000002,-0.1157604,-0.087238999999999997,0.12175900000000001,-0.073709200000000002,-0.030695900000000002,0.025945599999999999,0.82146303859681979,42.892849791537998,23.045941013138009,4.202222665832001,-139.63723688766169,-123.83262932532013,229.61966741070941,-142.99770130265702
0.00097655989999999998,VIC079,-36.00742019444444,143.55605997222224,0.15140000000000001,0.18404000000000001,0.21179999999999999,0.27018999999999999,-0.37285000000000001,-0.49212,-0.2208,-0.21958,0.25973000000000002,-0.095597000000000001,-0.036026000000000002,0.027705,11.631172158512754,24.13817649076109,78.069807474175434,19.859102631594848,50.557671230195851,51.90735751684575,52.85095971353482,-135.15872808070944
0.00097655989999999998,VIC078,-36.01989036111111,143.00234997222222,0.064903000000000002,0.07392,0.32711000000000001,0.43269000000000002,-0.27213999999999999,-0.37491000000000002,0.064618999999999996,0.14421,0.26584999999999998,-0.023283999999999999,0.00062348000000000004,0.056448999999999999,1.9817659539368759,60.256741690909088,43.953819463608959,5.1143077369857188,48.716324591644778,52.911026166405264,54.024820060109349,65.863345374169725
0.00097655989999999998,VIC071,-36.49672,146.99793,0.45123999999999997,0.18628,0.34427000000000002,0.75102999999999998,0.037304999999999998,-0.073463000000000001,0.34638999999999998,0.52325999999999995,0.29388999999999998,0.0015231999999999999,-0.058104000000000003,0.034105999999999997,48.807610470182112,139.79027682787304,1.3902834621818903,80.64780454327483,22.431716969521283,65.373414349961138,116.92176318540905,56.496059028923405
0.00097655989999999998,VIC070,-36.49496,146.51395,-0.073099999999999998,-0.23093,-0.25523000000000001,-0.30692999999999998,-0.74856,-2.9821,-4.2416,-3.5945,0.15029999999999999,0.12828000000000001,0.30861,-0.043083999999999997,12.016113891221622,32.634634659891326,1936.0333111363675,6330.7127007774943,-107.56498223949883,-129.74547700768889,75.908887655729544,-139.72073656676517
0.00097655989999999998,VIC073,-36.5069,147.9725,0.33912999999999999,0.31389,0.25109999999999999,0.50639999999999996,-0.72067999999999999,-0.78088999999999997,0.037962000000000003,-0.34287000000000001,0.35261999999999999,-0.062280000000000002,-0.093709000000000001,0.078280000000000002,43.732307460095392,65.432170622611039,231.25439709330692,24.371459517025023,42.786551743441827,63.625344730972493,47.296217795194934,-83.682038441402597
0.00097655989999999998,VIC072,-36.4752,147.4727,0.59370999999999996,0.60868,0.20502999999999999,0.50446000000000002,-0.19220000000000001,-0.24198,0.040018999999999999,-0.066486000000000003,0.35676000000000002,0.012237,-0.044450999999999997,0.083043000000000006,148.0672934655621,60.726882703252514,19.557460919703953,1.2332901559853116,45.713307251265448,67.881473581868704,51.540568345597478,-58.955583940825605
0.00097655989999999998,VIC075,-35.99694130555556,141.49997980555554,2.8054000000000001,2.1103000000000001,-5.9215999999999998,-4.141,-1.7305999999999999,-2.5047999999999999,-0.70981000000000005,-0.98341000000000001,-0.1739,-0.071123000000000006,-0.13977999999999999,-0.037772,2523.887218797332,10693.297474123196,1898.2961311436197,301.24633710640785,36.951503885367195,-145.03474290410514,55.358883579282946,-125.82116352789726
0.00097655989999999998,VIC074,-35.99910172222222,141.10688975,0.96448999999999996,0.73290999999999995,-1.7387999999999999,-1.5006999999999999,2.1554000000000002,2.0219,-1.9645999999999999,-1.1021000000000001,0.15404000000000001,-0.15870000000000001,0.029928,-0.0025707999999999998,300.52391629023481,1080.4305870023948,1788.6928943119624,1039.2148131415186,37.230977864819167,-139.20362371748828,223.16953915627343,-150.70847551327415
0.00097655989999999998,VIC077,-36.000080583333336,142.50731994444445,0.20251,0.052374999999999998,0.53927000000000003,0.59963999999999995,-0.034078999999999998,-0.14688000000000001,0.23202,0.28205000000000002,0.34042,-0.041352,0.061129999999999997,0.069459999999999994,8.9607285175236058,133.1982323869739,4.6561634654464097,27.317419627818026,14.500623991372619,48.034227550153233,76.937397660944711,50.558598902939366
0.00097655989999999998,VIC076,-36.03292088888889,142.0168298888889,0.76515999999999995,0.48665000000000003,-1.9585999999999999,-1.3097000000000001,0.83211000000000002,0.99436000000000002,0.31142999999999998,0.098991999999999997,-0.19596,-0.11422,-0.033550000000000003,0.044271999999999999,168.40708861791273,1136.9354916170528,344.30225154647445,21.87025311278909,32.456799666314879,-146.22967311223391,230.07640555462439,17.633522700378613
0.00097655989999999998,VIC044,-36.96867136111111,141.48755980555555,-0.30882999999999999,-0.1142,0.62710999999999995,0.48165999999999998,-0.42942000000000002,-0.40651999999999999,0.48471999999999998,0.3337,0.43440000000000001,-0.10172,0.037414000000000003,0.040694000000000001,22.203985418610777,128.05426634863872,71.6105682406169,70.924306517193656,-159.70647679407426,37.526533700410205,43.430814072576396,34.545027905166471
