station,freq,lon,lat,phi_min,phi_max,azimuth,skew,n_skew,elliptic,tip_mag_re,tip_mag_im,tip_ang_re,tip_ang_im
VIC64R,7.9365110000000004e-05,143.49445997222222,-36.50043022222222,45.178418077570718,61.033415377504447,46.229573823644571,-4.9810900386812413,-9.9621800773624827,0.14927712651377945,0.39579580536054193,0.033599034956528141,160.93683486310564,118.5707059624494
vic67R,7.9365110000000004e-05,144.99667,-36.51231002777778,40.567613279412008,53.64048955921573,35.633533655742198,0.41433739504184525,0.82867479008369049,0.1387659435430591,0.29724775438176149,0.12295440581191062,171.98207086020088,-51.551139972020835
VIC081,9.1553039999999999e-05,144.50682,-36.00216005555556,41.178906447447012,62.085990409343509,53.917194448421796,0.3260242841163134,0.6520485682326268,0.20246070638012439,0.20530720872877309,0.044041537495868602,-158.62872236827363,-51.440966125380093
VIC087,9.1553039999999999e-05,140.97698969444446,-35.39036183333333,39.869794689307518,67.947915891296518,50.951427270074745,7.7020777175302113,15.404155435060423,0.26042216117173,0.35534703474350254,0.10918346446692374,-169.92735714214905,-35.004444456913731
VIC088,9.1553039999999999e-05,141.54493983333333,-35.36356122222222,13.54753525061575,61.775055662795552,76.280485690423106,-2.7624244013177783,-5.5248488026355567,0.64027962696637419,0.24851342772775878,0.22663793702732118,-175.03248624017121,-39.264682269398023
VIC093,9.1553039999999999e-05,141.07961972222222,-34.998691694444446,40.878159818512174,61.292091003351203,68.225680786250919,-3.3118628796138569,-6.6237257592277139,0.19980308378053485,0.29336992054571648,0.10036576219612942,-172.52983442497961,1.2982118467222021
VIC094,9.1553039999999999e-05,141.47935980555556,-34.99594127777778,13.984704666566907,71.065298000008355,104.09988735368155,-18.677424115705577,-37.354848231411154,0.67114158193758855,0.29375394890962742,0.20253107267774986,-146.13520128257477,-57.456338571836618
VIC098,9.1553039999999999e-05,141.00512972222222,-34.493451722222225,28.099990628376933,86.725221630824052,87.280634224022151,-22.929649520578224,-45.859299041156447,0.51056061512091355,0.31666691797691782,0.12966043930702223,-170.90997320525187,2.469742259667139
VIC64R,0.0001,143.49445997222222,-36.50043022222222,44.002010140052157,59.646500196592406,37.796135687622296,-3.0839602604106835,-6.167920520821367,0.15093791512996974,0.43337943814860441,0.0092715593793331226,164.0105297187902,100.40072898508133
VIC65R,0.0001,143.96562,-36.52641011111111,20.991987456495721,59.554423799327772,54.913295754666855,1.6035226060858407,3.2070452121716815,0.47876045303066173,0.39406472683811733,0.061525474498454705,162.68506750881147,15.068014333124893
vic67R,0.0001,144.99667,-36.51231002777778,43.770749833429974,59.816738464678906,50.468010209042554,-0.508536357104586,-1.017072714209172,0.15490276764961267,0.31652775009366874,0.10473995810243576,175.1022576108227,-44.17730887235092
VIC82R,0.0001,145.05205,-35.97454002777778,44.866892054668604,62.293468570990662,41.511280125750424,1.0657802621268579,2.1315605242537159,0.16262148069096094,0.29594388978759134,0.095793242872866557,173.40741519738637,-53.283400492619535
VIC84R,0.0001,145.95019166666665,-35.95131944444445,38.709126311903411,54.247129867720197,49.381054498674871,4.2703784862096406,8.5407569724192811,0.16715393018617267,0.26051133882808247,0.11438712474295348,156.90508511808738,-14.778704889367436
VIC010,0.00012207,147.02672,-38.46585,36.377614718361521,47.139053489670133,-84.560224852812567,2.6903696993658426,5.3807393987316852,0.12885378454637278,0.27338041864771517,0.16089697234255218,147.36501086008752,-12.909766088690354
VIC011,0.00012207,141.02691972222223,-38.030951916666666,46.975901698992558,54.473641653602535,53.763652097561696,1.5511179622152604,3.1022359244305209,0.073906098606585618,0.90579660906850379,0.11879875043113879,-167.09280969472056,-156.03790278072088
VIC015,0.00012207,143.01092997222221,-37.96734038888889,25.669845603822104,36.000015236810562,54.000517016491003,1.6579481667650819,3.3158963335301639,0.16750758785857642,0.7443716913612447,0.082936199828542903,163.76818256728458,124.64717898374711
VIC017,0.00012207,144.00183,-37.99654011111111,29.508013630102667,51.557607884913473,48.595763770654976,-0.63680291591880844,-1.2736058318376169,0.27199685690100411,0.37820079257452649,0.0019893002815060375,172.89911094175025,30.615519766333769
VIC018,0.00012207,144.47864,-37.99449005555556,32.041524518128753,69.161160274516433,35.47399162052541,-6.9677029161247068,-13.935405832249414,0.36678508907587121,0.41225368803686885,0.10174118082664463,160.9686400003861,5.9666773573818146
VIC023,0.00012207,147.16512,-37.9098,14.261321220922817,46.314427942260885,-14.10350530149625,9.0255388923477948,18.05107778469559,0.52914090480318943,0.53081083532648421,0.093715927061519266,168.29357279291489,-126.24762571548452
VIC024,0.00012207,147.51967000000002,-37.91324,37.069643243066842,88.396373096403778,-61.79929359300175,9.5195490026302849,19.03909800526057,0.40908870266880348,0.57841889535180302,0.20307886866929312,157.76043613933172,-134.21594053069998
VIC026,0.00012207,141.49578980555555,-37.48913136111111,-39.736055134238256,79.751021628120768,-143.02671665457552,61.930448447692577,123.86089689538515,2.9860596479726209,0.55142648757563328,0.047940004866916734,-163.96040620246438,-94.037949058862537
VIC030,0.00012207,143.5138699722222,-37.521260222222224,36.414087002600617,58.543924455568813,28.416576494490794,-3.9160002657954598,-7.8320005315909196,0.23304866133087415,0.43401147277462609,0.051699116007916428,160.82402783672683,-168.83134295599692
VIC031,0.00012207,144.02323,-37.512070111111115,-21.509658268957033,36.3565079553508,122.65996485974811,-33.702686061352324,-67.405372122704648,3.8975383631275426,0.30966101728987461,0.12038569418332064,169.887076767862,8.7955181679938548
VIC032,0.00012207,144.50072,-37.49892005555556,33.249599234103684,57.528211553527385,39.256163726152842,-0.45702422734335973,-0.91404845468671947,0.26745095644817846,0.30192135236846035,0.04663258647126492,171.95502656914968,-136.39108007508472
VIC034,0.00012207,145.48814,-37.53092,-10.919432094199658,46.751109836433685,-12.299453728608736,-31.525097230047979,-63.050194460095959,1.6094848347739608,0.29685976231884309,0.10221887389812118,170.39705017327807,-7.3014685849170196
VIC037,0.00012207,146.95167999999998,-37.50743,32.98219116083105,53.402257171033376,-22.517882159176636,12.607447946608104,25.214895893216209,0.23638590515452795,0.39725165760384185,0.094508891671630568,170.84384003886407,-106.11785764835543
VIC038,0.00012207,147.52030000000002,-37.4956,44.166140734662449,56.038555357987406,-43.337738800269562,-1.2632928875749909,-2.5265857751499818,0.11848161898867147,0.34448691426525913,0.09714667081274582,155.51213514237801,161.94478183643798
VIC039,0.00012207,148.0436,-37.5096,53.015506104938055,85.600323543595735,-45.250374846812456,1.5011090158211298,3.0022180316422595,0.23507284500823492,0.48057788973276744,0.16435249884318764,160.40640453616214,-173.86099978373267
VIC040,0.00012207,148.5292,-37.5052,-32.021802813978056,65.602649700197489,-20.60686456504564,45.797487389434785,91.59497477886957,2.9071468282188464,0.51185800032821605,0.18638298958974234,157.44299191912492,178.7693785187881
VIC041,0.00012207,148.9919,-37.505000027777776,46.632866137574887,69.799636473154706,-68.589643935684364,-3.0445254867308216,-6.0890509734616431,0.19897167729043502,0.55244644211000216,0.1281272633322042,150.4842270173643,174.06292193314562
VIC042,0.00012207,149.4979,-37.501300055555554,49.298564154101307,56.797771067511277,-29.369063706282127,-7.7069643749416414,-15.413928749883283,0.07068299670997806,0.6448421837938334,0.184420420303718,133.56862611374873,162.74457431863399
VIC043,0.00012207,141.01561972222223,-36.97889188888889,39.840461207241773,73.403286260072349,42.294248824759237,-10.134080158421394,-20.268160316842788,0.29637684908403367,0.57747481217885166,0.20328878793479979,-170.46094938757113,-126.71037358437438
VIC045,0.00012207,142.0330498888889,-37.01335088888889,25.861131250414118,82.04370193835868,36.201739961750526,-33.883396293597144,-67.766792587194288,0.52066778686045179,0.52636406415711934,0.017975972877427245,175.03623776937209,-65.381602441645342
VIC046,0.00012207,142.53632994444445,-36.99400058333333,37.036077750176915,47.81388732004546,-28.722200803460112,-8.5820057054978847,-17.164011410995769,0.12702196825831055,0.38655912380902352,0.012358350668677435,178.91644747422606,-143.80236671027856
VIC047,0.00012207,142.9954999722222,-37.017010388888885,27.513103057994151,60.439364520842403,38.850992461315336,7.6368712607542264,15.273742521508453,0.3743642716258605,0.50931392480473181,0.036896257216145922,159.2698912549433,98.222163585170748
VIC048,0.00012207,143.4936199722222,-37.00121022222222,38.929570807823318,62.270337647371427,30.629342171157091,0.087078807955575294,0.17415761591115059,0.2306401971685775,0.40567303940488825,0.03879000770817144,161.10814532220729,148.30008575450913
VIC049,0.00012207,144.02530000000002,-37.008530111111114,-38.577561415304949,73.06517448777889,16.505987738199401,52.735682604743694,105.47136520948739,3.2371836133881571,0.38105021606213529,0.017136056384419375,165.74655059659926,-23.169043551445323
VIC050,0.00012207,144.48791999999997,-36.997140055555555,31.261962062637398,56.189409987530951,61.880033550252335,-4.1276060595942967,-8.2552121191885934,0.28504353151364387,0.26410742513038138,0.062405589252886633,177.1466949358711,-67.552247378063967
VIC051,0.00012207,144.99006999999997,-37.04309002777777,33.420903885669873,58.223552789540669,49.549978279513169,25.018054840862572,50.036109681725144,0.27063992524688968,0.27665023885043005,0.12481539618572701,169.05724523860593,154.13295478187734
VIC052,0.00012207,145.54584,-37.00386,34.535830851180194,77.195845431439139,-59.626905167653888,-24.730010885337908,-49.460021770675816,0.38180770216274845,0.19029636628427771,0.091634471641407964,163.83197615549437,-15.61601866713179
VIC053,0.00012207,145.97553,-37.04676,33.672339678525368,62.527134416339983,70.179513521134652,10.77003455158836,21.54006910317672,0.29994753099543958,0.28326713209442428,0.068048998711516678,168.16941849811062,-4.2143641410381338
VIC055,0.00012207,146.99581999999998,-37.01165,43.740425243639642,70.288388233594119,38.187184687965583,-6.9726618231699762,-13.945323646339952,0.2328180236239577,0.26140212019224329,0.21147353711516723,169.47007226269807,-96.461965701374012
VIC056,0.00012207,147.46935,-36.99378,-52.775770991622707,80.71801610664582,-78.832530233899305,76.995110346386369,153.99022069277274,4.7774896594295404,0.4496443398954334,0.073237296359232165,159.37326273898665,-84.85309019759157
VIC057,0.00012207,147.9719,-36.9821,52.060845065333496,66.2230981729018,74.339913746468099,6.2326673023551287,12.465334604710257,0.11973098562536216,0.36107309744704047,0.027230097785538709,155.22497025944224,-92.909373956068961
VIC059,0.00012207,140.99508969444443,-36.49998188888889,-36.666405275038755,87.02147203984957,26.731762568527827,-76.325111589498505,-152.65022317899701,2.4563144339096383,0.55780529584165839,0.090888128295173953,-170.91647807715518,-111.21597151779204
VIC060,0.00012207,141.50800980555556,-36.49795133333333,-38.896337467193703,76.443131859296628,27.946713306619912,-84.166380513370655,-168.33276102674131,3.0718859277837378,0.43949987517745664,0.055700936302722957,-174.08509919392719,-36.575296070948731
